[1 - 7f76ec084000]    0.113493 {2}{mapper}:   1d00010000000006 (TOC_PROC) can see 1e00010000000004(bw=10) 1e00010000000005(bw=10) 1e00010000000006(bw=10) 1e00010000000007(bw=200) 1e00010000000008(bw=10) 1e00010000000009(bw=10) 1e0001000000000a(bw=10) 1e0001000000000b(bw=200) 1e0001000000000c(bw=20)
[0 - 7f79b00db000]    0.113798 {2}{mapper}:   1e00000000000002 (SOCKET_MEM)
[0 - 7f79b00db000]    0.113806 {2}{mapper}:   1e00000000000003 (SOCKET_MEM)
[0 - 7f79b00db000]    0.113813 {2}{mapper}:   1e00000000000004 (GPU_FB_MEM)
[0 - 7f79b00db000]    0.113820 {2}{mapper}:   1e00000000000005 (GPU_FB_MEM)
[0 - 7f79b00db000]    0.113828 {2}{mapper}:   1e00000000000006 (GPU_FB_MEM)
[0 - 7f79b00db000]    0.113835 {2}{mapper}:   1e00000000000007 (GPU_FB_MEM)
[0 - 7f79b00db000]    0.113843 {2}{mapper}:   1e00000000000008 (GPU_DYNAMIC_MEM)
[0 - 7f79b00db000]    0.113850 {2}{mapper}:   1e00000000000009 (GPU_DYNAMIC_MEM)
[1 - 7f76ec084000]    0.113648 {2}{mapper}: Memories on rank 1:
[1 - 7f76ec084000]    0.113660 {2}{mapper}:   1a00010000000000 (GPU_FB_MEM)
[1 - 7f76ec084000]    0.113668 {2}{mapper}:   1a00010000000001 (GPU_FB_MEM)
[0 - 7f79b00db000]    0.113857 {2}{mapper}:   1e0000000000000a (GPU_DYNAMIC_MEM)
[0 - 7f79b00db000]    0.113865 {2}{mapper}:   1e0000000000000b (GPU_DYNAMIC_MEM)
[0 - 7f79b00db000]    0.113873 {2}{mapper}:   1e0000000000000c (Z_COPY_MEM)
[0 - 7f79b00db000]    0.113880 {2}{mapper}:   1e0000000000000d (HDF_MEM)
[0 - 7f79b00db000]    0.113887 {2}{mapper}:   1e0000000000000e (FILE_MEM)
[0 - 7f79b00db000]    0.113895 {2}{mapper}: Processors on rank 0:
[1 - 7f76ec084000]    0.113675 {2}{mapper}:   1a00010000000002 (GPU_FB_MEM)
[1 - 7f76ec084000]    0.113684 {2}{mapper}:   1a00010000000003 (GPU_FB_MEM)
[1 - 7f76ec084000]    0.113691 {2}{mapper}:   1e00010000000000 (SYSTEM_MEM)
[1 - 7f76ec084000]    0.113699 {2}{mapper}:   1e00010000000001 (SYSTEM_MEM)
[1 - 7f76ec084000]    0.113706 {2}{mapper}:   1e00010000000002 (SOCKET_MEM)
[1 - 7f76ec084000]    0.113714 {2}{mapper}:   1e00010000000003 (SOCKET_MEM)
[0 - 7f79b00db000]    0.113902 {2}{mapper}:   1d00000000000000 (UTIL_PROC) can see 1e00000000000000(bw=100) 1e00000000000001(bw=100) 1e0000000000000c(bw=40) 1e0000000000000d(bw=5) 1e0000000000000e(bw=5)
[0 - 7f79b00db000]    0.113910 {2}{mapper}:   1d00000000000001 (LOC_PROC) can see 1e00000000000000(bw=100) 1e00000000000001(bw=100) 1e0000000000000c(bw=40) 1e0000000000000d(bw=5) 1e0000000000000e(bw=5)
[0 - 7f79b00db000]    0.113919 {2}{mapper}:   1d00000000000002 (OMP_PROC) can see 1e00000000000000(bw=100) 1e00000000000001(bw=100) 1e00000000000002(bw=140) 1e00000000000003(bw=129) 1e0000000000000c(bw=40)
[0 - 7f79b00db000]    0.113927 {2}{mapper}:   1d00000000000003 (TOC_PROC) can see 1e00000000000004(bw=200) 1e00000000000005(bw=10) 1e00000000000006(bw=10) 1e00000000000007(bw=10) 1e00000000000008(bw=200) 1e00000000000009(bw=10) 1e0000000000000a(bw=10) 1e0000000000000b(bw=10) 1e0000000000000c(bw=20)
[0 - 7f79b00db000]    0.113936 {2}{mapper}:   1d00000000000004 (TOC_PROC) can see 1e00000000000004(bw=10) 1e00000000000005(bw=200) 1e00000000000006(bw=10) 1e00000000000007(bw=10) 1e00000000000008(bw=10) 1e00000000000009(bw=200) 1e0000000000000a(bw=10) 1e0000000000000b(bw=10) 1e0000000000000c(bw=20)
[0 - 7f79b00db000]    0.113945 {2}{mapper}:   1d00000000000005 (TOC_PROC) can see 1e00000000000004(bw=10) 1e00000000000005(bw=10) 1e00000000000006(bw=200) 1e00000000000007(bw=10) 1e00000000000008(bw=10) 1e00000000000009(bw=10) 1e0000000000000a(bw=200) 1e0000000000000b(bw=10) 1e0000000000000c(bw=20)
[1 - 7f76ec084000]    0.113722 {2}{mapper}:   1e00010000000004 (GPU_FB_MEM)
[1 - 7f76ec084000]    0.113730 {2}{mapper}:   1e00010000000005 (GPU_FB_MEM)
[1 - 7f76ec084000]    0.113738 {2}{mapper}:   1e00010000000006 (GPU_FB_MEM)
[1 - 7f76ec084000]    0.113745 {2}{mapper}:   1e00010000000007 (GPU_FB_MEM)
[1 - 7f76ec084000]    0.113753 {2}{mapper}:   1e00010000000008 (GPU_DYNAMIC_MEM)
[1 - 7f76ec084000]    0.113761 {2}{mapper}:   1e00010000000009 (GPU_DYNAMIC_MEM)
