[1 - 7fa9b805a000]    0.116274 {2}{mapper}:   1a00010000000002 (GPU_FB_MEM)
[1 - 7fa9b805a000]    0.116279 {2}{mapper}:   1a00010000000003 (GPU_FB_MEM)
[1 - 7fa9b805a000]    0.116285 {2}{mapper}:   1e00010000000000 (SYSTEM_MEM)
[1 - 7fa9b805a000]    0.116290 {2}{mapper}:   1e00010000000001 (SYSTEM_MEM)
[1 - 7fa9b805a000]    0.116295 {2}{mapper}:   1e00010000000002 (SOCKET_MEM)
[1 - 7fa9b805a000]    0.116301 {2}{mapper}:   1e00010000000003 (SOCKET_MEM)
[1 - 7fa9b805a000]    0.116306 {2}{mapper}:   1e00010000000004 (GPU_FB_MEM)
[1 - 7fa9b805a000]    0.116311 {2}{mapper}:   1e00010000000005 (GPU_FB_MEM)
[1 - 7fa9b805a000]    0.116317 {2}{mapper}:   1e00010000000006 (GPU_FB_MEM)
[1 - 7fa9b805a000]    0.116322 {2}{mapper}:   1e00010000000007 (GPU_FB_MEM)
[1 - 7fa9b805a000]    0.116327 {2}{mapper}:   1e00010000000008 (GPU_DYNAMIC_MEM)
[1 - 7fa9b805a000]    0.116333 {2}{mapper}:   1e00010000000009 (GPU_DYNAMIC_MEM)
[1 - 7fa9b805a000]    0.116338 {2}{mapper}:   1e0001000000000a (GPU_DYNAMIC_MEM)
[1 - 7fa9b805a000]    0.116343 {2}{mapper}:   1e0001000000000b (GPU_DYNAMIC_MEM)
[1 - 7fa9b805a000]    0.116349 {2}{mapper}:   1e0001000000000c (Z_COPY_MEM)
[1 - 7fa9b805a000]    0.116354 {2}{mapper}:   1e0001000000000d (HDF_MEM)
[1 - 7fa9b805a000]    0.116359 {2}{mapper}:   1e0001000000000e (FILE_MEM)
[1 - 7fa9b805a000]    0.116365 {2}{mapper}: Processors on rank 1:
[1 - 7fa9b805a000]    0.116370 {2}{mapper}:   1d00010000000000 (UTIL_PROC) can see 1e00010000000000(bw=100) 1e00010000000001(bw=100) 1e0001000000000c(bw=40) 1e0001000000000d(bw=5) 1e0001000000000e(bw=5)
[1 - 7fa9b805a000]    0.116376 {2}{mapper}:   1d00010000000001 (LOC_PROC) can see 1e00010000000000(bw=100) 1e00010000000001(bw=100) 1e0001000000000c(bw=40) 1e0001000000000d(bw=5) 1e0001000000000e(bw=5)
[1 - 7fa9b805a000]    0.116381 {2}{mapper}:   1d00010000000002 (OMP_PROC) can see 1e00010000000000(bw=100) 1e00010000000001(bw=100) 1e00010000000002(bw=140) 1e00010000000003(bw=129) 1e0001000000000c(bw=40)
[1 - 7fa9b805a000]    0.116387 {2}{mapper}:   1d00010000000003 (TOC_PROC) can see 1e00010000000004(bw=200) 1e00010000000005(bw=10) 1e00010000000006(bw=10) 1e00010000000007(bw=10) 1e00010000000008(bw=200) 1e00010000000009(bw=10) 1e0001000000000a(bw=10) 1e0001000000000b(bw=10) 1e0001000000000c(bw=20)
[1 - 7fa9b805a000]    0.116393 {2}{mapper}:   1d00010000000004 (TOC_PROC) can see 1e00010000000004(bw=10) 1e00010000000005(bw=200) 1e00010000000006(bw=10) 1e00010000000007(bw=10) 1e00010000000008(bw=10) 1e00010000000009(bw=200) 1e0001000000000a(bw=10) 1e0001000000000b(bw=10) 1e0001000000000c(bw=20)
[1 - 7fa9b805a000]    0.116405 {2}{mapper}:   1d00010000000005 (TOC_PROC) can see 1e00010000000004(bw=10) 1e00010000000005(bw=10) 1e00010000000006(bw=200) 1e00010000000007(bw=10) 1e00010000000008(bw=10) 1e00010000000009(bw=10) 1e0001000000000a(bw=200) 1e0001000000000b(bw=10) 1e0001000000000c(bw=20)
[1 - 7fa9b805a000]    0.116410 {2}{mapper}:   1d00010000000006 (TOC_PROC) can see 1e00010000000004(bw=10) 1e00010000000005(bw=10) 1e00010000000006(bw=10) 1e00010000000007(bw=200) 1e00010000000008(bw=10) 1e00010000000009(bw=10) 1e0001000000000a(bw=10) 1e0001000000000b(bw=200) 1e0001000000000c(bw=20)
[1 - 7fa9b805a000]    0.116853 {2}{mapper}: Memories on rank 1:
[1 - 7fa9b805a000]    0.116865 {2}{mapper}:   1a00010000000000 (GPU_FB_MEM)
[1 - 7fa9b805a000]    0.116870 {2}{mapper}:   1a00010000000001 (GPU_FB_MEM)
[1 - 7fa9b805a000]    0.116875 {2}{mapper}:   1a00010000000002 (GPU_FB_MEM)
[1 - 7fa9b805a000]    0.116881 {2}{mapper}:   1a00010000000003 (GPU_FB_MEM)
[1 - 7fa9b805a000]    0.116886 {2}{mapper}:   1e00010000000000 (SYSTEM_MEM)
[1 - 7fa9b805a000]    0.116891 {2}{mapper}:   1e00010000000001 (SYSTEM_MEM)
[1 - 7fa9b805a000]    0.116896 {2}{mapper}:   1e00010000000002 (SOCKET_MEM)
[1 - 7fa9b805a000]    0.116902 {2}{mapper}:   1e00010000000003 (SOCKET_MEM)
[1 - 7fa9b805a000]    0.116907 {2}{mapper}:   1e00010000000004 (GPU_FB_MEM)
[1 - 7fa9b805a000]    0.116913 {2}{mapper}:   1e00010000000005 (GPU_FB_MEM)
[1 - 7fa9b805a000]    0.116918 {2}{mapper}:   1e00010000000006 (GPU_FB_MEM)
[1 - 7fa9b805a000]    0.116923 {2}{mapper}:   1e00010000000007 (GPU_FB_MEM)
[1 - 7fa9b805a000]    0.116929 {2}{mapper}:   1e00010000000008 (GPU_DYNAMIC_MEM)
[1 - 7fa9b805a000]    0.116934 {2}{mapper}:   1e00010000000009 (GPU_DYNAMIC_MEM)
[1 - 7fa9b805a000]    0.116939 {2}{mapper}:   1e0001000000000a (GPU_DYNAMIC_MEM)
[1 - 7fa9b805a000]    0.116945 {2}{mapper}:   1e0001000000000b (GPU_DYNAMIC_MEM)
[1 - 7fa9b805a000]    0.116950 {2}{mapper}:   1e0001000000000c (Z_COPY_MEM)
[1 - 7fa9b805a000]    0.116955 {2}{mapper}:   1e0001000000000d (HDF_MEM)
[1 - 7fa9b805a000]    0.116961 {2}{mapper}:   1e0001000000000e (FILE_MEM)
[1 - 7fa9b805a000]    0.116966 {2}{mapper}: Processors on rank 1:
[1 - 7fa9b805a000]    0.116971 {2}{mapper}:   1d00010000000000 (UTIL_PROC) can see 1e00010000000000(bw=100) 1e00010000000001(bw=100) 1e0001000000000c(bw=40) 1e0001000000000d(bw=5) 1e0001000000000e(bw=5)
[1 - 7fa9b805a000]    0.116977 {2}{mapper}:   1d00010000000001 (LOC_PROC) can see 1e00010000000000(bw=100) 1e00010000000001(bw=100) 1e0001000000000c(bw=40) 1e0001000000000d(bw=5) 1e0001000000000e(bw=5)
[1 - 7fa9b805a000]    0.116982 {2}{mapper}:   1d00010000000002 (OMP_PROC) can see 1e00010000000000(bw=100) 1e00010000000001(bw=100) 1e00010000000002(bw=140) 1e00010000000003(bw=129) 1e0001000000000c(bw=40)
