[1 - 7f4a6408b000]    0.166904 {2}{mapper}:   1e00010000000007 (GPU_FB_MEM)
[1 - 7f4a6408b000]    0.166910 {2}{mapper}:   1e00010000000008 (GPU_DYNAMIC_MEM)
[1 - 7f4a6408b000]    0.166916 {2}{mapper}:   1e00010000000009 (GPU_DYNAMIC_MEM)
[1 - 7f4a6408b000]    0.166922 {2}{mapper}:   1e0001000000000a (GPU_DYNAMIC_MEM)
[1 - 7f4a6408b000]    0.166928 {2}{mapper}:   1e0001000000000b (GPU_DYNAMIC_MEM)
[1 - 7f4a6408b000]    0.166934 {2}{mapper}:   1e0001000000000c (Z_COPY_MEM)
[1 - 7f4a6408b000]    0.166940 {2}{mapper}:   1e0001000000000d (HDF_MEM)
[1 - 7f4a6408b000]    0.166946 {2}{mapper}:   1e0001000000000e (FILE_MEM)
[1 - 7f4a6408b000]    0.166951 {2}{mapper}: Processors on rank 1:
[1 - 7f4a6408b000]    0.166957 {2}{mapper}:   1d00010000000000 (UTIL_PROC) can see 1e00010000000000(bw=100) 1e00010000000001(bw=100) 1e0001000000000c(bw=40) 1e0001000000000d(bw=5) 1e0001000000000e(bw=5)
[1 - 7f4a6408b000]    0.166963 {2}{mapper}:   1d00010000000001 (LOC_PROC) can see 1e00010000000000(bw=100) 1e00010000000001(bw=100) 1e0001000000000c(bw=40) 1e0001000000000d(bw=5) 1e0001000000000e(bw=5)
[1 - 7f4a6408b000]    0.166969 {2}{mapper}:   1d00010000000002 (OMP_PROC) can see 1e00010000000000(bw=100) 1e00010000000001(bw=100) 1e00010000000002(bw=140) 1e00010000000003(bw=129) 1e0001000000000c(bw=40)
[1 - 7f4a6408b000]    0.166975 {2}{mapper}:   1d00010000000003 (TOC_PROC) can see 1e00010000000004(bw=200) 1e00010000000005(bw=10) 1e00010000000006(bw=10) 1e00010000000007(bw=10) 1e00010000000008(bw=200) 1e00010000000009(bw=10) 1e0001000000000a(bw=10) 1e0001000000000b(bw=10) 1e0001000000000c(bw=20)
[1 - 7f4a6408b000]    0.166981 {2}{mapper}:   1d00010000000004 (TOC_PROC) can see 1e00010000000004(bw=10) 1e00010000000005(bw=200) 1e00010000000006(bw=10) 1e00010000000007(bw=10) 1e00010000000008(bw=10) 1e00010000000009(bw=200) 1e0001000000000a(bw=10) 1e0001000000000b(bw=10) 1e0001000000000c(bw=20)
[1 - 7f4a6408b000]    0.166992 {2}{mapper}:   1d00010000000005 (TOC_PROC) can see 1e00010000000004(bw=10) 1e00010000000005(bw=10) 1e00010000000006(bw=200) 1e00010000000007(bw=10) 1e00010000000008(bw=10) 1e00010000000009(bw=10) 1e0001000000000a(bw=200) 1e0001000000000b(bw=10) 1e0001000000000c(bw=20)
[1 - 7f4a6408b000]    0.166999 {2}{mapper}:   1d00010000000006 (TOC_PROC) can see 1e00010000000004(bw=10) 1e00010000000005(bw=10) 1e00010000000006(bw=10) 1e00010000000007(bw=200) 1e00010000000008(bw=10) 1e00010000000009(bw=10) 1e0001000000000a(bw=10) 1e0001000000000b(bw=200) 1e0001000000000c(bw=20)
[1 - 7f4a6408b000]    0.167144 {2}{mapper}: Memories on rank 1:
[1 - 7f4a6408b000]    0.167152 {2}{mapper}:   1a00010000000000 (GPU_FB_MEM)
[1 - 7f4a6408b000]    0.167158 {2}{mapper}:   1a00010000000001 (GPU_FB_MEM)
[1 - 7f4a6408b000]    0.167163 {2}{mapper}:   1a00010000000002 (GPU_FB_MEM)
[1 - 7f4a6408b000]    0.167169 {2}{mapper}:   1a00010000000003 (GPU_FB_MEM)
[1 - 7f4a6408b000]    0.167174 {2}{mapper}:   1e00010000000000 (SYSTEM_MEM)
[1 - 7f4a6408b000]    0.167180 {2}{mapper}:   1e00010000000001 (SYSTEM_MEM)
[1 - 7f4a6408b000]    0.167185 {2}{mapper}:   1e00010000000002 (SOCKET_MEM)
[1 - 7f4a6408b000]    0.167191 {2}{mapper}:   1e00010000000003 (SOCKET_MEM)
[1 - 7f4a6408b000]    0.167197 {2}{mapper}:   1e00010000000004 (GPU_FB_MEM)
[1 - 7f4a6408b000]    0.167203 {2}{mapper}:   1e00010000000005 (GPU_FB_MEM)
[1 - 7f4a6408b000]    0.167209 {2}{mapper}:   1e00010000000006 (GPU_FB_MEM)
[1 - 7f4a6408b000]    0.167215 {2}{mapper}:   1e00010000000007 (GPU_FB_MEM)
[1 - 7f4a6408b000]    0.167221 {2}{mapper}:   1e00010000000008 (GPU_DYNAMIC_MEM)
[1 - 7f4a6408b000]    0.167226 {2}{mapper}:   1e00010000000009 (GPU_DYNAMIC_MEM)
[1 - 7f4a6408b000]    0.167232 {2}{mapper}:   1e0001000000000a (GPU_DYNAMIC_MEM)
[1 - 7f4a6408b000]    0.167238 {2}{mapper}:   1e0001000000000b (GPU_DYNAMIC_MEM)
[1 - 7f4a6408b000]    0.167244 {2}{mapper}:   1e0001000000000c (Z_COPY_MEM)
[1 - 7f4a6408b000]    0.167250 {2}{mapper}:   1e0001000000000d (HDF_MEM)
[1 - 7f4a6408b000]    0.167256 {2}{mapper}:   1e0001000000000e (FILE_MEM)
[1 - 7f4a6408b000]    0.167262 {2}{mapper}: Processors on rank 1:
[1 - 7f4a6408b000]    0.167268 {2}{mapper}:   1d00010000000000 (UTIL_PROC) can see 1e00010000000000(bw=100) 1e00010000000001(bw=100) 1e0001000000000c(bw=40) 1e0001000000000d(bw=5) 1e0001000000000e(bw=5)
[1 - 7f4a6408b000]    0.167274 {2}{mapper}:   1d00010000000001 (LOC_PROC) can see 1e00010000000000(bw=100) 1e00010000000001(bw=100) 1e0001000000000c(bw=40) 1e0001000000000d(bw=5) 1e0001000000000e(bw=5)
[1 - 7f4a6408b000]    0.167280 {2}{mapper}:   1d00010000000002 (OMP_PROC) can see 1e00010000000000(bw=100) 1e00010000000001(bw=100) 1e00010000000002(bw=140) 1e00010000000003(bw=129) 1e0001000000000c(bw=40)
[1 - 7f4a6408b000]    0.167286 {2}{mapper}:   1d00010000000003 (TOC_PROC) can see 1e00010000000004(bw=200) 1e00010000000005(bw=10) 1e00010000000006(bw=10) 1e00010000000007(bw=10) 1e00010000000008(bw=200) 1e00010000000009(bw=10) 1e0001000000000a(bw=10) 1e0001000000000b(bw=10) 1e0001000000000c(bw=20)
[1 - 7f4a6408b000]    0.167292 {2}{mapper}:   1d00010000000004 (TOC_PROC) can see 1e00010000000004(bw=10) 1e00010000000005(bw=200) 1e00010000000006(bw=10) 1e00010000000007(bw=10) 1e00010000000008(bw=10) 1e00010000000009(bw=200) 1e0001000000000a(bw=10) 1e0001000000000b(bw=10) 1e0001000000000c(bw=20)
[1 - 7f4a6408b000]    0.167298 {2}{mapper}:   1d00010000000005 (TOC_PROC) can see 1e00010000000004(bw=10) 1e00010000000005(bw=10) 1e00010000000006(bw=200) 1e00010000000007(bw=10) 1e00010000000008(bw=10) 1e00010000000009(bw=10) 1e0001000000000a(bw=200) 1e0001000000000b(bw=10) 1e0001000000000c(bw=20)
[1 - 7f4a6408b000]    0.167304 {2}{mapper}:   1d00010000000006 (TOC_PROC) can see 1e00010000000004(bw=10) 1e00010000000005(bw=10) 1e00010000000006(bw=10) 1e00010000000007(bw=200) 1e00010000000008(bw=10) 1e00010000000009(bw=10) 1e0001000000000a(bw=10) 1e0001000000000b(bw=200) 1e0001000000000c(bw=20)
[1 - 7f4a6409c000]    0.171893 {2}{mapper}: SELECT_SHARDING_FUNCTOR for init_cublas<5>
[1 - 7f4a6409c000]    0.171928 {2}{mapper}:   0 <- (0) (1) (2) (3)
[1 - 7f4a6409c000]    0.171936 {2}{mapper}:   1 <- (4) (5) (6) (7)
[1 - 7f4a6409c000]    0.172560 {2}{mapper}: SLICE_TASK for init_cublas<7>
[1 - 7f4a6409c000]    0.172575 {2}{mapper}:   INPUT: <4>..<7>
[1 - 7f4a6409c000]    0.172581 {2}{mapper}:   OUTPUT:
[1 - 7f4a6409c000]    0.172587 {2}{mapper}:     <4>..<4> -> 1d00010000000003
[1 - 7f4a6409c000]    0.172592 {2}{mapper}:     <5>..<5> -> 1d00010000000004
[1 - 7f4a6409c000]    0.172598 {2}{mapper}:     <6>..<6> -> 1d00010000000005
